model,preset,gender,image_index,image_name,ranker_recognizer,source_gallery_member_path,source_gallery_distance,source_match_top1,source_match_top5,top1_ranker_distance,top1_gallery_member_path
hyperswap_1a_256,preset_C,male,4,male4.png,arcface,ffhq/Part1/00029.png,0.8826237320899963,False,False,0.2102893590927124,ffhq/Part1/00082.png
hyperswap_1a_256,preset_C,male,4,male4.png,adaface,ffhq/Part1/00029.png,0.9379487037658691,False,False,0.22763848304748535,ffhq/Part1/00082.png
hyperswap_1a_256,preset_C,male,5,male5.png,arcface,ffhq/Part1/00036.png,0.9685561656951904,False,False,0.1822277307510376,ffhq/Part1/00082.png
hyperswap_1a_256,preset_C,male,5,male5.png,adaface,ffhq/Part1/00036.png,1.0198253393173218,False,False,0.24033582210540771,ffhq/Part1/00082.png
hyperswap_1a_256,preset_D,female,1,female1.png,arcface,ffhq/Part1/00018.png,1.0927401781082153,False,False,0.23581182956695557,ffhq/Part1/00128.png
hyperswap_1a_256,preset_D,female,1,female1.png,adaface,ffhq/Part1/00018.png,1.036110281944275,False,False,0.2114577293395996,ffhq/Part1/00128.png
hyperswap_1a_256,preset_D,female,2,female2.png,arcface,ffhq/Part1/00041.png,0.9305710792541504,False,False,0.18559253215789795,ffhq/Part1/00128.png
hyperswap_1a_256,preset_D,female,2,female2.png,adaface,ffhq/Part1/00041.png,0.9084424376487732,False,False,0.2174297571182251,ffhq/Part1/00128.png
hyperswap_1a_256,preset_D,female,3,female3.png,arcface,ffhq/Part1/00059.png,1.0187606811523438,False,False,0.19440287351608276,ffhq/Part1/00128.png
hyperswap_1a_256,preset_D,female,3,female3.png,adaface,ffhq/Part1/00059.png,0.9680043458938599,False,False,0.21826380491256714,ffhq/Part1/00128.png
hyperswap_1a_256,preset_D,female,4,female4.png,arcface,ffhq/Part1/00077.png,1.0124224424362183,False,False,0.2220381498336792,ffhq/Part1/00128.png
