model,preset,preset_label,gender,image_index,image_name,original_path,reference_path,modified_path,recognizer,cos_distance_original_modified,cos_distance_reference_modified,cos_similarity_original_modified,cos_similarity_reference_modified,identity_replacement_score
hyperswap_1a_256,preset_B,B - strong identity replacement,female,3,female3.png,/srv/filaka-shared/diploma-new/test-img/female3.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/female/female3.png,arcface,1.0129696130752563,0.20190072059631348,-0.012969613075256348,0.7980992794036865,0.8110688924789429
hyperswap_1a_256,preset_B,B - strong identity replacement,female,3,female3.png,/srv/filaka-shared/diploma-new/test-img/female3.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/female/female3.png,adaface,0.9614391326904297,0.21988457441329956,0.03856086730957031,0.7801154255867004,0.7415545582771301
hyperswap_1a_256,preset_B,B - strong identity replacement,female,4,female4.png,/srv/filaka-shared/diploma-new/test-img/female4.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/female/female4.png,arcface,1.0068867206573486,0.22275537252426147,-0.006886720657348633,0.7772446274757385,0.7841313481330872
hyperswap_1a_256,preset_B,B - strong identity replacement,female,4,female4.png,/srv/filaka-shared/diploma-new/test-img/female4.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/female/female4.png,adaface,0.9993233680725098,0.2238660454750061,0.0006766319274902344,0.7761339545249939,0.7754573225975037
hyperswap_1a_256,preset_B,B - strong identity replacement,female,5,female5.png,/srv/filaka-shared/diploma-new/test-img/female5.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/female/female5.png,arcface,1.0577760934829712,0.22294622659683228,-0.05777609348297119,0.7770537734031677,0.8348298668861389
hyperswap_1a_256,preset_B,B - strong identity replacement,female,5,female5.png,/srv/filaka-shared/diploma-new/test-img/female5.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/female/female5.png,adaface,1.0016894340515137,0.2497802972793579,-0.0016894340515136719,0.7502197027206421,0.7519091367721558
hyperswap_1a_256,preset_B,B - strong identity replacement,male,1,male1.png,/srv/filaka-shared/diploma-new/test-img/male1.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/male/male1.png,arcface,1.0607116222381592,0.19750481843948364,-0.06071162223815918,0.8024951815605164,0.8632068037986755
hyperswap_1a_256,preset_B,B - strong identity replacement,male,1,male1.png,/srv/filaka-shared/diploma-new/test-img/male1.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/male/male1.png,adaface,1.0636088848114014,0.22747325897216797,-0.06360888481140137,0.772526741027832,0.8361356258392334
hyperswap_1a_256,preset_B,B - strong identity replacement,male,2,male2.png,/srv/filaka-shared/diploma-new/test-img/male2.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/male/male2.png,arcface,0.951984167098999,0.2791750431060791,0.04801583290100098,0.7208249568939209,0.6728091239929199
hyperswap_1a_256,preset_B,B - strong identity replacement,male,2,male2.png,/srv/filaka-shared/diploma-new/test-img/male2.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/male/male2.png,adaface,0.9033465385437012,0.3216549754142761,0.09665346145629883,0.6783450245857239,0.581691563129425
